Entity,Code,Year,Life expectancy
Portugal,PRT,2022,81.1936
Puerto Rico,PRI,2022,79.4269
Qatar,QAT,2022,81.8566
Romania,ROU,2022,75.2614
Russia,RUS,2022,72.5174
Rwanda,RWA,2022,67.528
Saint Kitts and Nevis,KNA,2022,70.3131
Saint Lucia,LCA,2022,72.6699
Saint Vincent and the Grenadines,VCT,2022,71.1906
Samoa,WSM,2022,71.5503
San Marino,SMR,2022,85.7082
Sao Tome and Principe,STP,2022,69.2368
Saudi Arabia,SAU,2022,77.3098
Senegal,SEN,2022,67.7884
Serbia,SRB,2022,75.4778
Seychelles,SYC,2022,71.2481
Sierra Leone,SLE,2022,61.2748
Singapore,SGP,2022,82.9211
Slovakia,SVK,2022,77.0356
Slovenia,SVN,2022,80.7933
Solomon Islands,SLB,2022,70.4086
Somalia,SOM,2022,53.9315
South Africa,ZAF,2022,65.4536
South Korea,KOR,2022,82.727
South Sudan,SSD,2022,57.2026
Spain,ESP,2022,82.3661
Sri Lanka,LKA,2022,77.2996
Sudan,SDN,2022,65.695
Suriname,SUR,2022,73.2538
Sweden,SWE,2022,83.046
Switzerland,CHE,2022,83.2003
Syria,SYR,2022,72.7898
Taiwan,TWN,2022,80.1569
Tajikistan,TJK,2022,71.5624
Tanzania,TZA,2022,66.8786
Thailand,THA,2022,75.2913
Togo,TGO,2022,62.2898
Tonga,TON,2022,72.6353
Trinidad and Tobago,TTO,2022,73.3308
Tunisia,TUN,2022,76.0505
Turkey,TUR,2022,77.5913
Turkmenistan,TKM,2022,69.9133
Tuvalu,TUV,2022,66.8516
Uganda,UGA,2022,67.6747
Ukraine,UKR,2022,72.6582
United Arab Emirates,ARE,2022,80.4868
United Kingdom,GBR,2022,81.0744
United States,USA,2022,77.9789
Uruguay,URY,2022,76.4682
Uzbekistan,UZB,2022,72.1465
Vanuatu,VUT,2022,71.3016
Venezuela,VEN,2022,72.5656
Vietnam,VNM,2022,74.5025
Western Sahara,ESH,2022,71.1432
Yemen,YEM,2022,67.9517
Zambia,ZMB,2022,65.2791
Zimbabwe,ZWE,2022,62.3601
