Entity,Code,Year,Share of the population with access to electricity
Guinea-Bissau,GNB,2022,37.4
Guyana,GUY,2022,93
Haiti,HTI,2022,49.3
Honduras,HND,2022,94.4
Hungary,HUN,2022,100
Iceland,ISL,2022,100
India,IND,2022,99.2
Indonesia,IDN,2022,100
Iran,IRN,2022,100
Iraq,IRQ,2022,100
Ireland,IRL,2022,100
Israel,ISR,2022,100
Italy,ITA,2022,100
Jamaica,JAM,2022,100
Japan,JPN,2022,100
Jordan,JOR,2022,100
Kazakhstan,KAZ,2022,100
Kenya,KEN,2022,76
Kiribati,KIR,2022,94.4
Kuwait,KWT,2022,100
Kyrgyzstan,KGZ,2022,99.7
Laos,LAO,2022,100
Latvia,LVA,2022,100
Lebanon,LBN,2022,100
Lesotho,LSO,2022,50
Liberia,LBR,2022,31.8
Libya,LBY,2022,70
Liechtenstein,LIE,2022,100
Lithuania,LTU,2022,100
Luxembourg,LUX,2022,100
Madagascar,MDG,2022,36.1
Malawi,MWI,2022,14
Malaysia,MYS,2022,100
Maldives,MDV,2022,100
Mali,MLI,2022,53
Malta,MLT,2022,100
Marshall Islands,MHL,2022,100
Mauritania,MRT,2022,49
Mauritius,MUS,2022,100
Mexico,MEX,2022,100
Micronesia (country),FSM,2022,85.3
Moldova,MDA,2022,100
Monaco,MCO,2022,100
Mongolia,MNG,2022,100
Montenegro,MNE,2022,100
Morocco,MAR,2022,100
Mozambique,MOZ,2022,33.2
Myanmar,MMR,2022,73.6
Namibia,NAM,2022,56.2
Nauru,NRU,2022,100
Nepal,NPL,2022,91.3
Netherlands,NLD,2022,100
New Caledonia,NCL,2022,100
New Zealand,NZL,2022,100
Nicaragua,NIC,2022,86.5
Niger,NER,2022,19.5
Nigeria,NGA,2022,60.5
North Korea,PRK,2022,54.7
North Macedonia,MKD,2022,100
Norway,NOR,2022,100
Oman,OMN,2022,100
Pakistan,PAK,2022,95
Palau,PLW,2022,100
Palestine,PSE,2022,100
Panama,PAN,2022,95
Papua New Guinea,PNG,2022,19
Paraguay,PRY,2022,100
Peru,PER,2022,96.2
Philippines,PHL,2022,94.8
Poland,POL,2022,100
Portugal,PRT,2022,100
Puerto Rico,PRI,2022,100
Qatar,QAT,2022,100
Romania,ROU,2022,100
Russia,RUS,2022,100
Rwanda,RWA,2022,50.6
Saint Kitts and Nevis,KNA,2022,100
Saint Lucia,LCA,2022,100
Saint Vincent and the Grenadines,VCT,2022,100
Samoa,WSM,2022,98.3
San Marino,SMR,2022,100
Sao Tome and Principe,STP,2022,78
Saudi Arabia,SAU,2022,100
Senegal,SEN,2022,67.9
Serbia,SRB,2022,100
Seychelles,SYC,2022,100
Sierra Leone,SLE,2022,29.4
Singapore,SGP,2022,100
Slovakia,SVK,2022,100
Slovenia,SVN,2022,100
Solomon Islands,SLB,2022,76
Somalia,SOM,2022,48.9
South Africa,ZAF,2022,86.5
South Korea,KOR,2022,100
South Sudan,SSD,2022,8.4
Spain,ESP,2022,100
Sri Lanka,LKA,2022,100
Sudan,SDN,2022,63.2
Suriname,SUR,2022,99
Sweden,SWE,2022,100
Switzerland,CHE,2022,100
Syria,SYR,2022,89
Tajikistan,TJK,2022,100
Tanzania,TZA,2022,45.8
Thailand,THA,2022,99.9
Togo,TGO,2022,57.2
Tonga,TON,2022,100
Trinidad and Tobago,TTO,2022,100
Tunisia,TUN,2022,100
Turkey,TUR,2022,100
Turkmenistan,TKM,2022,100
Tuvalu,TUV,2022,100
Uganda,UGA,2022,47.1
Ukraine,UKR,2022,100
United Arab Emirates,ARE,2022,100
United Kingdom,GBR,2022,100
United States,USA,2022,100
Uruguay,URY,2022,100
Uzbekistan,UZB,2022,100
Vanuatu,VUT,2022,71.6
Venezuela,VEN,2022,100
Vietnam,VNM,2022,100
Yemen,YEM,2022,76
Zambia,ZMB,2022,47.8
Zimbabwe,ZWE,2022,50.1
