Entity,Code,Year,GDP per capita,World region according to OWID
Mexico,MEX,2022,21391.857,North America
Micronesia (country),FSM,2022,3814.9907,Oceania
Moldova,MDA,2022,15358.016,Europe
Mongolia,MNG,2022,15310.435,Asia
Montenegro,MNE,2022,25583.422,Europe
Morocco,MAR,2022,8690.448,Africa
Mozambique,MOZ,2022,1476.6656,Africa
Myanmar,MMR,2022,5350.4766,Asia
Namibia,NAM,2022,9953.098,Africa
Nauru,NRU,2022,12363.6455,Oceania
Nepal,NPL,2022,4763.3877,Asia
Netherlands,NLD,2022,71324.04,Europe
New Zealand,NZL,2022,49964.176,Oceania
Nicaragua,NIC,2022,7277.8228,North America
Niger,NER,2022,1717.5189,Africa
Nigeria,NGA,2022,7752.262,Africa
North Macedonia,MKD,2022,22822.328,Europe
Norway,NOR,2022,91051.086,Europe
Oman,OMN,2022,39780.21,Asia
Pakistan,PAK,2022,5526.2793,Asia
Palau,PLW,2022,16040.908,Oceania
Palestine,PSE,2022,5753.084,Asia
Panama,PAN,2022,33915.152,North America
Papua New Guinea,PNG,2022,4125.493,Oceania
Paraguay,PRY,2022,15259.1455,South America
Peru,PER,2022,15559.821,South America
Philippines,PHL,2022,9457.104,Asia
Poland,POL,2022,43405.023,Europe
Portugal,PRT,2022,41070.86,Europe
Puerto Rico,PRI,2022,42310.957,North America
Qatar,QAT,2022,114740.164,Asia
Romania,ROU,2022,39256.99,Europe
Russia,RUS,2022,38214.496,Europe
Rwanda,RWA,2022,2892.4597,Africa
Saint Kitts and Nevis,KNA,2022,29749.87,North America
Saint Lucia,LCA,2022,22962.281,North America
Saint Vincent and the Grenadines,VCT,2022,16835.023,North America
Samoa,WSM,2022,6449.365,Oceania
San Marino,SMR,2022,70887.57,Europe
Sao Tome and Principe,STP,2022,5632.1387,Africa
Saudi Arabia,SAU,2022,67178.59,Asia
Senegal,SEN,2022,4228.734,Africa
Serbia,SRB,2022,24651.95,Europe
Seychelles,SYC,2022,27978.178,Africa
Sierra Leone,SLE,2022,2934.7332,Africa
Singapore,SGP,2022,133571.97,Asia
Slovakia,SVK,2022,38664.906,Europe
Slovenia,SVN,2022,47050.066,Europe
Solomon Islands,SLB,2022,2330.103,Oceania
Somalia,SOM,2022,1387.5475,Africa
South Africa,ZAF,2022,13767.497,Africa
South Korea,KOR,2022,53228.605,Asia
Spain,ESP,2022,46733.48,Europe
Sri Lanka,LKA,2022,13249.065,Asia
Sudan,SDN,2022,3132.0771,Africa
Suriname,SUR,2022,18742.588,South America
Sweden,SWE,2022,63088.42,Europe
Switzerland,CHE,2022,82777.3,Europe
Syria,SYR,2022,4454.8535,Asia
Tajikistan,TJK,2022,4213.7563,Asia
Tanzania,TZA,2022,3546.981,Africa
Thailand,THA,2022,20762.795,Asia
Togo,TGO,2022,2739.6882,Africa
Tonga,TON,2022,6810.61,Oceania
Trinidad and Tobago,TTO,2022,30784.111,North America
Tunisia,TUN,2022,12712.224,Africa
Turkey,TUR,2022,33520.812,Asia
Turkmenistan,TKM,2022,17119.574,Asia
Tuvalu,TUV,2022,5498.1846,Oceania
Uganda,UGA,2022,2724.906,Africa
Ukraine,UKR,2022,13787.121,Europe
United Arab Emirates,ARE,2022,70075.63,Asia
United Kingdom,GBR,2022,53139.152,Europe
United States,USA,2022,72679.26,North America
Uruguay,URY,2022,30804.703,South America
Uzbekistan,UZB,2022,9607.562,Asia
Vanuatu,VUT,2022,3222.836,Oceania
Vietnam,VNM,2022,12979.764,Asia
Zambia,ZMB,2022,3585.1238,Africa
Zimbabwe,ZWE,2022,5036.761,Africa
